# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94338
  1 0.723652 944 194.323
  2 10.7237 1888 214.204
  3 20.7237 1888 222.397
  4 30.7237 1888 219.051
  5 40.7237 1888 218.688
  6 50.7237 1888 218.534
  7 60.7237 1888 213.822
  8 70.7237 1888 210.043
  9 80.7237 1888 207.864
  10 90.7237 1888 204.709
  11 100.724 1888 197.577
  12 110.724 1888 185.656
  13 120.724 1888 178.827
  14 130.724 1888 175.01
  15 140.724 1888 169.114
  16 150.724 1888.12 165.89
  17 160.724 1890.59 164.069
  18 170.724 1905.22 162.408
  19 180.724 1934.41 160.608
  20 190.724 1950.1 158.096
  21 200.724 1931.61 155.547
  22 210.724 1907.42 153.496
  23 220.724 1895.36 154.139
  24 230.724 1890.32 156.909
  25 240.724 1896.01 147.271
  26 250.724 1874.79 144.949
  27 260.724 1877.2 142.559
  28 270.724 1884.38 140.082
  29 280.724 1886.66 134.902
  30 290.724 1885.79 133.261
  31 300.724 1884.79 132.349
  32 310.724 1887.23 130.038
  33 320.724 1888 127.803
  34 330.724 1888 126.4
  35 340.724 1888 124.476
  36 350.724 1888 122.417
  37 360.724 1888 119.929
  38 370.724 1888 118.005
  39 380.724 1888 114.855
  40 390.724 1888 110.609
  41 400.724 1888 102.467
  42 410.724 1888 95.3183
  43 420.724 1888 90.7651
  44 430.724 1888 87.1009
  45 440.724 1888 84.3055
  46 450.724 1888 82.4187
  47 460.724 1888 80.7166
  48 470.724 1888 80.1342
  49 480.724 1888 79.7783
  50 490.724 1888 80.8863
  51 500.724 708 86.8583
30000 51 94338
  1 0.723652 906.998 2389.66
  2 10.7237 1749.75 2167.27
  3 20.7237 1825.82 2072.13
  4 30.7237 1873.14 1934.98
  5 40.7237 1921.23 1941.67
  6 50.7237 1894.9 1738.38
  7 60.7237 1900.12 1615.51
  8 70.7237 1888.4 1586.8
  9 80.7237 1870.04 1495.61
  10 90.7237 1863.97 1350.58
  11 100.724 1908.81 1506.31
  12 110.724 1901.55 1466.74
  13 120.724 1884.76 1366.21
  14 130.724 1884.74 1282.4
  15 140.724 1897.57 1236.29
  16 150.724 1915.65 1340.83
  17 160.724 1921.21 1352.12
  18 170.724 1927.41 1333.39
  19 180.724 1923.05 1213.97
  20 190.724 1915.96 1127.99
  21 200.724 1941.17 1151.86
  22 210.724 1905.02 1143.39
  23 220.724 1970.8 1080.22
  24 230.724 1930.28 946.686
  25 240.724 1936.92 1048.05
  26 250.724 1924.87 941.587
  27 260.724 1956.07 1122.45
  28 270.724 1931.87 1242.4
  29 280.724 1908.21 1167.29
  30 290.724 1894.59 1087.17
  31 300.724 1865.67 1092.29
  32 310.724 1904.48 1254.13
  33 320.724 1922.54 1359
  34 330.724 1905.97 1340.45
  35 340.724 1870.08 1302.73
  36 350.724 1889.62 1368.58
  37 360.724 1906.27 1449.44
  38 370.724 1887.09 1421.63
  39 380.724 1872.24 1468.71
  40 390.724 1852.34 1409.37
  41 400.724 1893.89 1500.67
  42 410.724 1902.26 1550.81
  43 420.724 1890.52 1485.83
  44 430.724 1839.63 1368.33
  45 440.724 1880.24 1530.45
  46 450.724 1862.34 1455.81
  47 460.724 1869.45 1617
  48 470.724 1887.62 1765.92
  49 480.724 1849.73 1786.08
  50 490.724 1828.66 1872.19
  51 500.724 682.455 2108.95
40000 51 94338
  1 0.723652 844.997 6190.72
  2 10.7237 1025.34 4851.76
  3 20.7237 1251.95 4019.67
  4 30.7237 1668.1 3470.83
  5 40.7237 1800.07 3147.97
  6 50.7237 1848.08 2906.22
  7 60.7237 1876.99 2790.79
  8 70.7237 1921.13 2806.29
  9 80.7237 1999.72 2849.6
  10 90.7237 1964.02 2496.4
  11 100.724 1967.71 2296.16
  12 110.724 2020.31 2226
  13 120.724 2003.86 2139.6
  14 130.724 1946.93 2042.42
  15 140.724 1985.17 1906.95
  16 150.724 2048.48 1856.38
  17 160.724 1989.44 1839.42
  18 170.724 1966.44 1766.53
  19 180.724 1996.12 1709.31
  20 190.724 2037.03 1726.48
  21 200.724 2034.76 1658.67
  22 210.724 2087.34 1624.02
  23 220.724 2078.9 1578.86
  24 230.724 2116.95 1597.33
  25 240.724 2106.31 1532.1
  26 250.724 2038.64 1492.88
  27 260.724 2006.96 1552.92
  28 270.724 2025.84 1606.56
  29 280.724 1998.2 1606.22
  30 290.724 1997.2 1711.99
  31 300.724 1994.61 1807.33
  32 310.724 2003.37 1776.27
  33 320.724 2032.69 1802.01
  34 330.724 2011.37 2026.68
  35 340.724 1970.74 2143.7
